Mtro. Horacio Duarte Olivares,Secretario General de Gobierno
Mtro. Cristóbal Castañeda Caramillo,Secretario de Seguridad
Lic. Paulina Moreno García,Secretaria de Finanzas
Dra. Macarena Montoya Olvera,Secretaria de Salud
Prof. Norberto Morales Poblete,Secretario del Trabajo
Mtro. Miguel Ángel Hernández Espejel,"Secretario de Educación, Ciencia, Tecnología e Innovación"
Mtro. Juan Carlos González Romero,Secretario del Bienestar
Ing. Carlos Jesús Maza Lara,Secretario de Desarrollo Urbano e Infraestructura
Mtra. María Eugenia Rojano Valdés,Secretaria del Campo
Lic. Laura González Hernández,Secretaria de Desarrollo Económico
Lic. Nelly Minerva Carrasco Godinez,Secretaria de Cultura y Turismo
Lic. Hilda Salazar Gil,Secretaria de la Contraloría
Mtra. Alhely Rubio Arronis,Secretaria de Medio Ambiente y Desarrollo Sostenible
Dr. Pedro Moctezuma Barragán,Secretario del Agua
Mtra. Mónica Chávez Durán,Secretaria de las Mujeres
Mtro. Daniel Andrés Sibaja González,Secretario de Movilidad
Lic. Jesús George Zamora,Consejería Jurídica
Lcda. Ma. Trinidad Franco Arpero,Oficial Mayor
Mtra. en D. Myrna Araceli García Morón,Presidenta de la Comisión de Derechos Humanos del Estado de México
Lic. José Luis Cervantes Martínez,Fiscal General de Justicia del Estado de México
Dr. José Martínez Vilchis,Comisionado Presidente del INFOEM
Dra. Amalia Pulido Gómez,Consejera Presidenta del IEEM
Mgdo. Gerardo Becker Ania,Magistrado Presidente del TRIJAEM
Dra. Martha Patricia Tovar Pescador,Magistrada Presidenta del TEEM
Dr. Carlos Eduardo Barrera Díaz,Rector de la Universidad Autónoma del Estado de México
Mtra. Miroslava Carrillo Martínez,Auditora Superior de Fiscalización
Mtro. Juan José Hernández Vences,Contralor del Poder Legislativo del Estado de México
L.D. María Isabel Selene Clemente Muñoz,Directora General del INESLE
Martha Guerrero Sánchez,Presidenta de morena Estado de México
Ana Lilia Herrera Anzaldo,Presidenta del PRI Estado de México
Agustín Barrera Soriano,Presidente del PRD Estado de México
Ernesto José Zapata Pérez,Comandante de la Primera Región Militar
José Martín Luna de la Luz,Comandante de la 22 Zona Militar
José Manuel Ramírez Martínez,Comandante de la 37 Zona Militar
Sen. Higinio Martínez Miranda,Senador del Estado de México
Sen. Mariela Gutiérrez Escalante,Senadora del Estado de México
Sen. Enrique Vargas del Villar,Senador del Estado de México
Sen. Cristina Ruiz Sandoval,Senadora del Estado de México
Sen. Manuel Velasco Coello,Senador del Estado de México
Mons. Raúl Gómez González,Arzobispo de Toluca
Mons. Maximino Martinez Miranda,Obispo Auxiliar de Toluca
Mons. Juan Manuel Mancilla Sánchez,Obispo de Texcoco
Mario Martin Delgado Carrillo,Presidente Nacional de morena
Francisco Javier Cabiedes Uranga,Secretario de Finanzas del partido morena
Lic. Herminio Cahue Calderón,Secretario General SUTEYM
Reginaldo Sandoval Flores,Coordinador del Grupo Parlamentario PT en la Cámara de Diputados Federal
José Eduardo Díaz Antón,Representante ante IEEM del PT
Mtro. Juan Maccise Naime,Presidente municipal de Toluca
Mauricio Massud Martínez,Presidente CONCAEM
Francisco Cervantes Díaz,Presidente del CCE
Mtro. Ricardo Moreno Bastida,Presidente Electo de Toluca
Notario Juan Castañeda Salinas,Presidente del Consejo Directivo del Colegio de Notarios del Estado de México
Mtra. Karina Labastida Sotelo,Directora General del DIF Estado de México
Lic. Carlos Augusto Morales López,Secretario Particular de la Presidenta electa Claudia Sheinbaum Pardo
Mtro. Oscar Flores Jiménez,Titular de la Unidad de Administración y Finanzas de la SEP
Lic. Germán Ibarra Ramos,Secretario Particular del Presidente Nacional de morena Mario Martín Delgado Carrillo
Mtra. Guadalupe Ramírez Peña,Comisionada del INFOEM
Mtra. María Guadalupe Olivo Torres,Presidenta del Comité Coordinador y del Comité de Participación Ciudadana
